"Дата","Критерий","Парам. №1","Парам. №2","Значение"
"11.04.2020","visitors","","",0
"11.04.2020","members","Новые подписчики","",2
"11.04.2020","members","Отписавшиеся подписчики","",1
"05.04.2020","views","","",0
"05.04.2020","visitors","","",0
"05.04.2020","members","Новые подписчики","",1
"05.04.2020","members","Отписавшиеся подписчики","",1
"02.04.2020","views","","",0
"02.04.2020","visitors","","",0
"02.04.2020","members","Новые подписчики","",1
"21.03.2020","views","","",0
"21.03.2020","visitors","","",0
"22.03.2020","feedback","Нравится","",1
"17.03.2020","views","","",0
"17.03.2020","visitors","","",0
"17.03.2020","feedback","Нравится","",1
"17.03.2020","members","Новые подписчики","",1
"17.03.2020","members","Отписавшиеся подписчики","",1
"10.03.2020","views","","",0
"10.03.2020","visitors","","",0
"10.03.2020","feedback","Нравится","",1
"08.03.2020","views","","",0
"08.03.2020","visitors","","",0
"09.03.2020","members","Отписавшиеся подписчики","",2
"04.03.2020","views","","",0
"04.03.2020","visitors","","",0
"04.03.2020","members","Отписавшиеся подписчики","",1
"27.02.2020","views","","",0
"27.02.2020","visitors","","",0
"27.02.2020","feedback","Нравится","",1
"22.02.2020","views","","",0
"22.02.2020","visitors","","",0
"23.02.2020","members","Отписавшиеся подписчики","",1
"20.02.2020","views","","",0
"20.02.2020","visitors","","",0
"20.02.2020","members","Новые подписчики","",1
"16.02.2020","views","","",0
"16.02.2020","visitors","","",0
"16.02.2020","feedback","Нравится","",1
"15.02.2020","views","","",0
"15.02.2020","visitors","","",0
"15.02.2020","feedback","Нравится","",2
"10.02.2020","views","","",0
"10.02.2020","visitors","","",0
"10.02.2020","members","Отписавшиеся подписчики","",1
"09.02.2020","views","","",0
"09.02.2020","visitors","","",0
"09.02.2020","feedback","Нравится","",3
"08.02.2020","views","","",0
"08.02.2020","visitors","","",0
"08.02.2020","members","Новые подписчики","",1
"04.02.2020","views","","",0
"04.02.2020","visitors","","",0
"04.02.2020","feedback","Нравится","",1
"01.02.2020","views","","",0
"01.02.2020","visitors","","",0
"01.02.2020","feedback","Нравится","",2
"31.01.2020","views","","",0
"31.01.2020","visitors","","",0
"30.01.2020","views","","",0
"30.01.2020","visitors","","",0
"30.01.2020","feedback","Нравится","",1
"24.01.2020","views","","",0
"24.01.2020","visitors","","",0
"24.01.2020","feedback","Нравится","",1
"15.01.2020","views","","",0
"15.01.2020","visitors","","",0
"15.01.2020","members","Новые подписчики","",1
"13.01.2020","views","","",0
"13.01.2020","visitors","","",0
"14.01.2020","feedback","Нравится","",1
"05.01.2020","views","","",0
"05.01.2020","visitors","","",0
"05.01.2020","feedback","Нравится","",1
"02.01.2020","views","","",0
"02.01.2020","visitors","","",0
"02.01.2020","feedback","Нравится","",2
"01.01.2020","views","","",0
"01.01.2020","visitors","","",0
"01.01.2020","feedback","Нравится","",24
"01.01.2020","members","Новые подписчики","",1
"31.12.2019","views","","",0
"31.12.2019","visitors","","",0
"01.01.2020","feedback","Нравится","",9
"01.12.2019","views","","",0
"01.12.2019","visitors","","",0
"02.12.2019","feedback","Нравится","",1
"28.11.2019","views","","",0
"28.11.2019","visitors","","",0
"29.11.2019","feedback","Нравится","",1
"19.11.2019","views","","",0
"19.11.2019","visitors","","",0
"19.11.2019","feedback","Нравится","",1
"13.11.2019","views","","",0
"13.11.2019","visitors","","",0
"13.11.2019","feedback","Нравится","",1
"24.10.2019","views","","",0
"24.10.2019","visitors","","",0
"24.10.2019","members","Отписавшиеся подписчики","",1
"23.10.2019","views","","",0
"23.10.2019","visitors","","",0
"23.10.2019","members","Новые подписчики","",1
"20.10.2019","views","","",0
"20.10.2019","visitors","","",0
"20.10.2019","members","Новые подписчики","",1
"19.10.2019","views","","",0
"19.10.2019","visitors","","",0
"19.10.2019","feedback","Нравится","",1
"11.10.2019","views","","",0
"11.10.2019","visitors","","",0
"11.10.2019","members","Новые подписчики","",1
"10.10.2019","views","","",0
"10.10.2019","visitors","","",0
"10.10.2019","feedback","Нравится","",2
"03.10.2019","views","","",0
"03.10.2019","visitors","","",0
"03.10.2019","members","Новые подписчики","",2
"03.10.2019","members","Отписавшиеся подписчики","",1
"21.09.2019","views","","",0
"21.09.2019","visitors","","",0
"21.09.2019","feedback","Нравится","",1
"17.09.2019","views","","",0
"17.09.2019","visitors","","",0
"17.09.2019","members","Новые подписчики","",1
"09.09.2019","views","","",0
"09.09.2019","visitors","","",0
"09.09.2019","members","Новые подписчики","",1
"07.09.2019","views","","",0
"07.09.2019","visitors","","",0
"07.09.2019","members","Отписавшиеся подписчики","",1
"23.08.2019","views","","",0
"23.08.2019","visitors","","",0
"23.08.2019","feedback","Нравится","",1
"20.08.2019","views","","",0
"20.08.2019","visitors","","",0
"20.08.2019","feedback","Нравится","",1
"19.08.2019","views","","",0
"19.08.2019","visitors","","",0
"19.08.2019","feedback","Нравится","",7
"18.08.2019","views","","",0
"18.08.2019","visitors","","",0
"19.08.2019","feedback","Нравится","",6
"16.08.2019","views","","",0
"16.08.2019","visitors","","",0
"16.08.2019","members","Отписавшиеся подписчики","",2
"15.08.2019","views","","",0
"15.08.2019","visitors","","",0
"15.08.2019","members","Новые подписчики","",1
"12.08.2019","views","","",0
"12.08.2019","visitors","","",0
"12.08.2019","members","Новые подписчики","",1
"04.08.2019","views","","",0
"04.08.2019","visitors","","",0
"04.08.2019","members","Новые подписчики","",1
"25.07.2019","views","","",0
"25.07.2019","visitors","","",0
"25.07.2019","feedback","Нравится","",1
"24.07.2019","views","","",0
"24.07.2019","visitors","","",0
"24.07.2019","members","Отписавшиеся подписчики","",1
